,N,P,K,temperature,rainfall,label
0,90,42,43,20.87974371,202.9355362,rice
1,85,58,41,21.77046169,226.6555374,rice
2,60,55,44,23.00445915,263.9642476,rice
3,74,35,40,26.49109635,242.8640342,rice
4,78,42,42,20.13017482,262.7173405,rice
5,69,37,42,23.05804872,251.0549998,rice
6,69,55,38,22.70883798,271.3248604,rice
7,94,53,40,20.27774362,241.9741949,rice
8,89,54,38,24.51588066,230.4462359,rice
9,68,58,38,23.22397386,221.2091958,rice
10,91,53,40,26.52723513,264.6148697,rice
11,90,46,42,23.97898217,250.0832336,rice
12,78,58,44,26.80079604,284.4364567,rice
13,93,56,36,24.01497622,185.2773389,rice
14,94,50,37,25.66585205,209.5869708,rice
15,60,48,39,24.28209415,231.0863347,rice
16,85,38,41,21.58711777,276.65524589999995,rice
17,91,35,39,23.79391957,206.2611855,rice
18,77,38,36,21.8652524,224.55501690000003,rice
19,88,35,40,23.57943626,291.2986618000001,rice
20,89,45,36,21.32504158,185.4974732,rice
21,76,40,43,25.15745531,231.3843163,rice
22,67,59,41,21.94766735,213.3560921,rice
23,83,41,43,21.0525355,233.1075816,rice
24,98,47,37,23.48381344,224.0581164,rice
25,66,53,41,25.0756354,257.0038865,rice
26,97,59,43,26.35927159,271.35861370000003,rice
27,97,50,41,24.52922681,260.2634026,rice
28,60,49,44,20.77576147,240.0810647,rice
29,84,51,35,22.30157427,197.9791215,rice
30,73,57,41,21.44653958,272.2017204,rice
31,92,35,40,22.17931888,200.0882787,rice
32,85,37,39,24.52783742,224.67572310000003,rice
33,98,53,38,20.26707606,270.4417274,rice
34,88,54,44,25.7354293,233.1321372,rice
35,95,55,42,26.79533926,193.3473987,rice
36,99,57,35,26.75754171,272.29990560000005,rice
37,95,39,36,23.86330467,285.2493645,rice
38,60,43,44,21.01944696,298.40184710000005,rice
39,63,44,41,24.17298839,257.0343554,rice
40,62,42,36,22.78133816,248.7183228,rice
41,64,45,43,25.62980105,209.9001977,rice
42,83,60,36,25.59704938,200.834898,rice
43,82,40,40,23.83067496,298.5601175,rice
44,85,52,45,26.31355498,265.5355937,rice
45,91,35,38,24.8972823,183.6793207,rice
46,76,49,42,24.958779,196.95600080000003,rice
47,74,39,38,23.24113501,233.0453455,rice
48,79,43,39,21.66628296,210.8142087,rice
49,88,55,45,24.63544858,253.7202781,rice
50,60,36,43,23.43121862,219.9048349,rice
51,76,60,39,20.0454142,208.5810155,rice
52,93,56,42,23.85724032,195.0948311,rice
53,65,60,43,21.97199397,227.3637009,rice
54,95,52,36,26.22916897,286.5083725,rice
55,75,38,39,23.44676801,283.9338466,rice
56,74,54,38,25.65553461,217.3788583,rice
57,91,36,45,24.44345477,267.97619480000003,rice
58,71,46,40,20.2801937,191.9535738,rice
59,99,55,35,21.7238313,277.9626192,rice
60,72,40,38,20.41447029,245.1511304,rice
61,83,58,45,25.75528612,245.6626799,rice
62,93,58,38,20.61521424,279.5451717,rice
63,70,36,42,21.84106875,202.3838319,rice
64,76,47,42,20.08369642,263.6372176,rice
65,99,41,36,24.45802087,182.5616319,rice
66,99,54,37,21.14347496,198.6730942,rice
67,86,59,35,25.78720567,243.5120414,rice
68,69,46,41,23.64124821,263.1103304,rice
69,91,56,37,23.43191632,269.5039162,rice
70,61,52,41,24.97669518,204.8001847,rice
71,67,45,38,22.72791041,260.8875056,rice
72,79,42,37,24.87300744,295.6094492000001,rice
73,78,43,42,21.32376327,192.3197536,rice
74,75,54,36,26.29465461,257.4914906,rice
75,97,36,45,22.2286982,278.0791793,rice
76,67,47,44,26.73072391,280.4044392,rice
77,73,35,38,24.88921174,185.9461429,rice
78,77,36,37,26.88444878,194.5766559,rice
79,81,41,38,22.67846116,200.9133156,rice
80,68,57,43,26.08867875,182.9043504,rice
81,72,45,35,25.42977518,195.3574542,rice
82,61,53,43,26.40323239,223.3671883,rice
83,67,43,39,26.04371967,186.7536773,rice
84,67,58,39,25.2827223,220.1156708,rice
85,66,60,38,22.08576562,231.7364957,rice
86,82,43,38,23.28617173,242.3170629,rice
87,84,50,44,25.48591986,182.6549356,rice
88,81,53,42,23.67575393,233.7034975,rice
89,91,50,40,20.82477109,230.22422230000004,rice
90,93,53,38,26.92995077,290.67937830000005,rice
91,90,44,38,23.83509503,241.20135130000003,rice
92,81,45,35,26.52872817,218.9163567,rice
93,78,40,38,26.46428311,248.2256491,rice
94,60,51,36,22.69657794,256.9964761,rice
95,88,46,42,22.68319059,194.2651719,rice
96,93,47,37,21.53346343,295.9248796,rice
97,60,55,45,21.40865769,287.5766935000001,rice
98,78,35,44,26.54348085,183.6222657,rice
99,65,37,40,23.35905428,188.413665,rice
100,71,54,16,22.61359953,87.75953857,maize
101,61,44,17,26.10018422,102.2662445,maize
102,80,43,16,23.55882094,66.71995467,maize
103,73,58,21,19.97215954,60.65171481,maize
104,61,38,20,18.47891261,65.43835393,maize
105,68,41,16,21.77689322,102.0861694,maize
106,93,41,17,25.6217169,105.4654703,maize
107,89,60,19,25.19192419,78.06639649,maize
108,76,44,17,20.41683147,65.27798457,maize
109,67,60,25,24.92162194,109.2162279,maize
110,70,44,19,23.31689124,94.29712821,maize
111,90,49,21,24.84016732,74.05474936,maize
112,62,52,16,22.27526694,63.87020584,maize
113,92,44,16,18.87751445,94.76189431,maize
114,66,54,21,25.19008683,72.12375573,maize
115,63,58,22,18.25405352,63.72358154,maize
116,70,47,17,24.612911800000006,104.1626147,maize
117,61,41,17,25.1420613,76.68456006,maize
118,66,53,19,23.09348056,65.49730729,maize
119,74,55,19,18.05033737,84.23613484,maize
120,77,57,21,24.9321581,79.74078719,maize
121,99,50,15,18.14710054,88.07753741,maize
122,74,56,22,18.28362235,80.97573281,maize
123,83,45,21,18.83344471,79.75328959999999,maize
124,100,48,16,25.71895816,74.51490791,maize
125,79,51,16,25.33797709,96.46380213,maize
126,94,39,18,23.89114571,102.8301942,maize
127,75,49,15,21.53574127,102.4852929,maize
128,78,48,22,23.08974909,70.43473609,maize
129,87,54,20,25.61707368,108.8303762,maize
130,87,35,25,21.44526922,65.88951188,maize
131,63,43,19,18.51816776,90.988051,maize
132,84,57,25,22.53510514,64.40866039,maize
133,64,35,23,23.02038334,63.03843397,maize
134,60,46,22,24.89364635,87.9298085,maize
135,98,44,21,25.77175115,107.4931917,maize
136,75,56,18,19.39851734,60.95197486,maize
137,86,55,21,21.54156232,109.7515385,maize
138,98,35,18,23.79746068,91.76337172,maize
139,76,57,18,18.9802729,94.26249353,maize
140,99,56,17,24.10859207,71.07562236,maize
141,60,44,23,24.7947077,76.72860067,maize
142,74,48,17,21.63162756,69.21803098,maize
143,89,60,17,25.37548751,101.7004306,maize
144,69,51,23,22.21738222,106.6213157,maize
145,96,46,22,20.58314011,66.29390357,maize
146,61,60,15,24.87502824,91.26056654,maize
147,74,58,18,20.03728219,109.024141,maize
148,74,43,23,25.95263264,99.57981207,maize
149,63,43,17,19.28889933,71.3195307,maize
150,99,36,20,20.57981887,78.34604471,maize
151,77,36,23,24.71417533,88.45361858,maize
152,87,60,23,20.27317074,62.50351892,maize
153,60,38,17,18.41932981,76.41312437,maize
154,94,54,17,23.39128187,107.3198135,maize
155,95,38,22,19.84939404,100.7689246,maize
156,84,44,21,21.869274,107.2681929,maize
157,77,58,19,22.8056033,101.5952794,maize
158,66,44,20,19.0781471,80.72515943,maize
159,63,35,16,22.02720976,83.73280082,maize
160,79,45,20,23.80546189,89.96220140000001,maize
161,72,60,25,18.52510753,88.10234397,maize
162,67,51,24,23.50297882,64.77791424,maize
163,86,36,24,26.54986394,73.33636055,maize
164,76,48,18,19.29563411,83.21030571,maize
165,75,53,18,20.68899915,103.651438,maize
166,81,45,23,19.32666088,84.22969177,maize
167,73,45,21,24.60532218,96.59195302,maize
168,71,35,24,22.27373646,67.96704792,maize
169,96,54,22,25.70196694,83.20711308,maize
170,99,39,18,19.20129357,87.85092352,maize
171,62,48,20,21.70181447,95.71388473,maize
172,86,37,16,20.51716779,67.61013737,maize
173,94,50,19,23.30355338,97.59081274,maize
174,76,39,24,24.2547451,64.23845455,maize
175,77,52,17,24.86374934,75.82270467,maize
176,74,39,23,22.6265115,88.17251033,maize
177,81,49,20,18.04185513,104.2321615,maize
178,63,42,21,23.26237612,67.10225139,maize
179,99,38,21,22.88330922,67.72777298,maize
180,90,52,25,25.97482359,103.2234212,maize
181,68,40,19,26.14384005,107.2361366,maize
182,60,57,24,18.66116213,75.03247667,maize
183,71,52,18,25.10787449,78.16077693,maize
184,61,59,17,23.33844615,105.0083144,maize
185,88,38,15,25.08239719,62.49190812,maize
186,65,60,22,25.36768364,107.9124111,maize
187,78,37,22,25.34217103,74.52082026,maize
188,78,58,15,25.00933355,62.91359494,maize
189,92,60,23,18.66746724,69.93293255,maize
190,79,59,17,20.37999665,108.5054416,maize
191,91,55,15,18.09300227,78.96159541,maize
192,76,51,18,26.16985907,79.84925393,maize
193,87,48,25,18.65396672,93.62039175,maize
194,71,60,22,26.07470121,85.75692395,maize
195,90,57,24,18.92851916,82.34162918,maize
196,67,35,22,23.30546753,108.7603001,maize
197,60,54,19,18.74826712,70.23401597,maize
198,83,58,23,19.74213321,65.50861389,maize
199,83,57,19,25.73044432,98.73771338,maize
200,40,72,77,17.02498456,88.55123143,chickpea
201,23,72,84,19.02061277,79.92698081,chickpea
202,39,58,85,17.88776475,68.54932919,chickpea
203,22,72,85,18.86805647,88.51048983,chickpea
204,36,67,77,18.36952567,79.26357665,chickpea
205,32,73,81,20.45078582,92.68373702,chickpea
206,58,70,84,20.6543203,74.6631118,chickpea
207,59,70,84,17.3348681,82.61734721,chickpea
208,42,62,75,18.17912258,81.84997529,chickpea
209,28,74,81,18.01272266,81.98568791,chickpea
210,58,66,79,20.99373558,93.55280105,chickpea
211,43,66,79,19.46233971,74.58565097,chickpea
212,58,63,81,19.81344531,78.96514709,chickpea
213,23,62,85,18.97424756,80.7108745,chickpea
214,27,62,77,18.19737048,70.18185181,chickpea
215,28,72,84,18.72963144,71.58010169,chickpea
216,50,56,76,20.99502153,73.50734019,chickpea
217,39,71,84,20.28155898,82.52339655,chickpea
218,25,78,76,17.48042641,66.96980581,chickpea
219,31,70,77,20.88818675,90.46228334,chickpea
220,26,80,83,17.08498521,71.31007253,chickpea
221,25,68,77,20.09340593,85.74904898,chickpea
222,31,78,76,17.57212145,89.31050665,chickpea
223,60,68,83,19.12065218,85.52950164,chickpea
224,59,62,83,18.57665902,72.94940441,chickpea
225,22,67,78,17.16606398,72.32667516,chickpea
226,36,65,80,18.2872007,74.87445574,chickpea
227,59,60,84,19.03025305,94.70992037,chickpea
228,54,77,85,17.141861399999996,83.74606679,chickpea
229,43,68,81,17.47809436,78.92060234,chickpea
230,28,76,82,20.56601874,83.75937135,chickpea
231,42,79,85,17.22385224,76.57580954,chickpea
232,32,60,83,19.69141713,91.76071648,chickpea
233,22,78,76,17.84851658,76.32470713,chickpea
234,31,79,75,18.8202251,89.73119396,chickpea
235,28,58,81,17.47500984,93.35034262,chickpea
236,57,58,77,18.72649425,81.20176515,chickpea
237,49,55,78,18.65580107,81.70769297,chickpea
238,46,76,77,18.2356751,83.74879344,chickpea
239,54,61,77,18.81198127,77.54294240000002,chickpea
240,38,60,76,18.65054116,77.92798682,chickpea
241,59,55,79,20.36720401,82.2545577,chickpea
242,36,76,75,18.38120357,70.52056697,chickpea
243,57,68,81,17.17012591,72.78624223,chickpea
244,35,66,81,19.37101121,85.24819851,chickpea
245,35,64,78,17.92845928,85.37378769,chickpea
246,52,60,79,19.45339934,75.6317566,chickpea
247,27,76,83,19.12829388,89.61857826,chickpea
248,57,60,84,19.1034283,75.49101167,chickpea
249,52,68,78,17.48504075,86.05078037,chickpea
250,43,79,79,19.40751744,80.25064637,chickpea
251,44,74,85,20.18649426,78.26039559,chickpea
252,24,55,78,17.30287885,75.57790384,chickpea
253,29,77,75,17.50361137,72.9446671,chickpea
254,20,60,78,18.17234999,90.7760707,chickpea
255,56,67,78,17.57445618,77.81891424,chickpea
256,37,66,85,20.93175255,78.06910795,chickpea
257,49,71,76,19.71098332,85.57925437,chickpea
258,59,69,80,19.07937684,69.40619137,chickpea
259,20,79,77,18.54988627,76.32565249,chickpea
260,24,56,85,18.19903647,80.6405403,chickpea
261,51,72,75,18.88852533,80.11133840000002,chickpea
262,57,73,85,18.49311205,91.94595352,chickpea
263,22,64,82,19.48974337,87.51312796,chickpea
